id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_001_000746.1	eggnog	Ankyrin repeats (many copies)	1583	1681	2678
Phum-OR502AA_001_000149.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	563	746	1125
Phum-OR502AA_001_000745.1	eggnog	Sir2 family	89	117	173
Phum-OR502AA_001_000150.1	unannotated	Hypothetical protein of unknown function	1	1	1
Phum-OR502AA_001_000151.1	eggnog	Cytochrome oxidase assembly protein	158	184	292
Phum-OR502AA_001_000152.1	eggnog	X-Pro dipeptidyl-peptidase (S15 family)	186	277	400
Phum-OR502AA_001_000744.1	eggnog	Mitochondrial carrier protein	338.347	426.631	819.084
Phum-OR502AA_001_000153.1	eggnog	domain-containing protein	0	0	4.075
Phum-OR502AA_001_000154.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000743.1	unannotated	Hypothetical protein of unknown function	6	0	10
Phum-OR502AA_001_000155.1	eggnog	Acetyl-coenzyme A synthetase N-terminus	0	0	2.797
Phum-OR502AA_001_000156.1	unannotated	Hypothetical protein of unknown function	0	0	0.5
Phum-OR502AA_001_000742.1	unannotated	Hypothetical protein of unknown function	4	1	8
Phum-OR502AA_001_000157.1	unannotated	Hypothetical protein of unknown function	9	6	9
Phum-OR502AA_001_000741.1	unannotated	Hypothetical protein of unknown function	0	0	0.5
Phum-OR502AA_001_000740.1	eggnog	Acetyl-coenzyme A synthetase N-terminus	0	2	5.129
Phum-OR502AA_001_000158.1	eggnog	Mitochondrial carrier protein	202.653	273.369	535.916
Phum-OR502AA_001_000739.1	eggnog	Cation transporter/ATPase, N-terminus	13950	16598	26892
Phum-OR502AA_001_000159.1	eggnog	domain-containing protein	825	646	976
Phum-OR502AA_001_000738.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7474325.1	0	38	72
Phum-OR502AA_001_000737.1	eggnog	domain-containing protein	2101	2273	2884
Phum-OR502AA_001_000160.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6576473.1	31	152	212
Phum-OR502AA_001_000736.1	blastp	Homology to Peronospora effusa predicted protein RQM15819.1	65.128	105.716	176.784
Phum-OR502AA_001_000735.1	blastp	Homology to Peronospora effusa predicted protein RQM15819.1	4.144	37.233	41.98
Phum-OR502AA_001_000161.1	interproscan	PTHR31973 domain-containing protein	221.727	467.05	629.237
Phum-OR502AA_001_000734.1	unannotated	Hypothetical protein of unknown function	0	1	0
Phum-OR502AA_001_000733.1	eggnog	Transcription initiation factor TFIID subunit A	122	191	270
Phum-OR502AA_001_000162.1	eggnog	Reversible hydration of carbon dioxide	2729	6268	6294
Phum-OR502AA_001_000732.1	eggnog	Rab subfamily of small GTPases	242	591	949
Phum-OR502AA_001_000163.1	blastp	Homology to Peronospora effusa predicted protein CAI5703436.1	347	407	547
Phum-OR502AA_001_000164.1	eggnog	Regulator of chromosome condensation (RCC1) repeat	252	602	843
Phum-OR502AA_001_000165.1	eggnog	Carbonic anhydrase	716	1231	1650
Phum-OR502AA_001_000166.1	eggnog	domain-containing protein	53	146	147
Phum-OR502AA_001_000731.1	blastp	Homology to Peronospora farinosa predicted protein CAH0490253.1	27.157	126.858	332.359
Phum-OR502AA_001_000167.1	eggnog	Vps51/Vps67	108	679	671
Phum-OR502AA_001_000730.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7474355.1	48	237	274
Phum-OR502AA_001_000168.1	blastp	Homology to Peronospora farinosa predicted protein CAH0490253.1	22.843	57.142	59.641
Phum-OR502AA_001_000169.1	eggnog	domain-containing protein	3142	5177	9371
Phum-OR502AA_001_000729.1	interproscan	PTHR34211 domain-containing protein	189.403	842.205	1153.096
Phum-OR502AA_001_000170.1	eggnog	vesicle fusion with Golgi apparatus	90.24	176.277	303.398
Phum-OR502AA_001_000728.1	eggnog	vesicle fusion with Golgi apparatus	20.76	19.723	12.602
Phum-OR502AA_001_000171.1	interproscan	PTHR34211 domain-containing protein	3121.597	2853.795	4038.904
Phum-OR502AA_001_000727.1	blastp	Homology to Phytophthora nicotianae predicted protein ETP22721.1	229	425	584
Phum-OR502AA_001_000172.1	unannotated	Hypothetical protein of unknown function	81	75	140
Phum-OR502AA_001_000173.1	eggnog	Deoxyhypusine synthase	526	643	829
Phum-OR502AA_001_000726.1	interproscan	PTHR46127 domain-containing protein	149	403	464
Phum-OR502AA_001_000174.1	eggnog	domain-containing protein	73	135	353
Phum-OR502AA_001_000175.1	interproscan	PTHR28069 domain-containing protein	34	81	116
Phum-OR502AA_001_000725.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2790943.1	15	143	148
Phum-OR502AA_001_000724.1	eggnog	emp24/gp25L/p24 family/GOLD	1398	1732	2167
Phum-OR502AA_001_000723.1	eggnog	domain-containing protein	69	123	184
Phum-OR502AA_001_000722.1	eggnog	Aspartyl protease	226.448	381.526	555.975
Phum-OR502AA_001_000721.1	eggnog	Aspartyl protease	59.568	484.27	187.069
Phum-OR502AA_001_000720.1	eggnog	Aspartyl protease	409.793	253.387	719.056
Phum-OR502AA_001_000719.1	eggnog	Aspartyl protease	157.191	420.817	424.9
Phum-OR502AA_001_000176.1	eggnog	CorA-like Mg2+ transporter protein	50	179	128
Phum-OR502AA_001_000718.1	eggnog	Centromere/kinetochore Zw10	307	451	646
Phum-OR502AA_001_000177.1	eggnog	Lissencephaly type-1-like homology motif	210	294	348
Phum-OR502AA_001_000717.1	eggnog	Nucleoporin Nup120/160	622	501	719
Phum-OR502AA_001_000716.1	eggnog	domain-containing protein	3	20	31
Phum-OR502AA_001_000178.1	eggnog	Protein of unknown function (DUF2009)	484	646	887
Phum-OR502AA_001_000715.1	eggnog	Protein tyrosine kinase	575	2351	2711
Phum-OR502AA_001_000714.1	eggnog	Protein tyrosine kinase	2	9	28
Phum-OR502AA_001_000179.1	eggnog	domain-containing protein	274	439	598
Phum-OR502AA_001_000713.1	eggnog	Protein tyrosine kinase	3	40	32
Phum-OR502AA_001_000180.1	eggnog	belongs to the metallo- dependent hydrolases superfamily	276	81	156
Phum-OR502AA_001_000712.1	eggnog	domain-containing protein	424	633	971
Phum-OR502AA_001_000181.1	eggnog	Proteasome subunit	2439	3402	4377
Phum-OR502AA_001_000711.1	eggnog	Oligosaccharyl transferase STT3 subunit	4424	4359	5737
Phum-OR502AA_001_000182.1	interproscan	PTHR22050 domain-containing protein	614	929	1295
Phum-OR502AA_001_000183.1	eggnog	hemolysis in other organism	183	278	729
Phum-OR502AA_001_000710.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008901322.1	118	182	292
Phum-OR502AA_001_000184.1	eggnog	Domain of unknown function (DUF4464)	37	114	129
Phum-OR502AA_001_000709.1	eggnog	domain-containing protein	261	372	586
Phum-OR502AA_001_000708.1	eggnog	Antibiotic biosynthesis monooxygenase	69	84	109
Phum-OR502AA_001_000185.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7382415.1	32	105	121
Phum-OR502AA_001_000707.1	eggnog	Aminotransferase class-III	449	403	1163
Phum-OR502AA_001_000706.1	blastp	Homology to Peronospora farinosa;Peronospora effusa predicted protein RMX63232.1	72	62	117
Phum-OR502AA_001_000186.1	eggnog	Pep3/Vps18/deep orange family	1499	2189	2688
Phum-OR502AA_001_000187.1	blastp	Homology to Phytophthora idaei predicted protein KAG3117561.1	19	53	58
Phum-OR502AA_001_000705.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	283	384	493
Phum-OR502AA_001_000188.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7474410.1	22	71	79
Phum-OR502AA_001_000189.1	eggnog	domain-containing protein	49	261	227
Phum-OR502AA_001_000704.1	eggnog	Belongs to the AAA ATPase family	2765	3657	4771
Phum-OR502AA_001_000190.1	eggnog	SHQ1 protein	89	69	92
Phum-OR502AA_001_000191.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	1	48	82
Phum-OR502AA_001_000703.1	eggnog	Cathepsin propeptide inhibitor domain (I29)	1993	3636	4263
Phum-OR502AA_001_000702.1	blastp	Homology to Phytophthora idaei predicted protein KAG3111274.1	497	670	963
Phum-OR502AA_001_000701.1	eggnog	domain-containing protein	13	306	360
Phum-OR502AA_001_000192.1	eggnog	Antibiotic biosynthesis monooxygenase	443	506	828
Phum-OR502AA_001_000700.1	eggnog	domain-containing protein	480	424	532
Phum-OR502AA_001_000193.1	eggnog	BRE1 E3 ubiquitin ligase	1	38	66
Phum-OR502AA_001_000699.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ20939.1	0	6	1
Phum-OR502AA_001_000698.1	eggnog	Dip2/Utp12 Family	722	395	540
Phum-OR502AA_001_000194.1	eggnog	Redoxin	2464	2946	4248
Phum-OR502AA_001_000697.1	eggnog	Protein tyrosine kinase	59	111	116
Phum-OR502AA_001_000696.1	eggnog	domain-containing protein	784	885	1208
Phum-OR502AA_001_000195.1	unannotated	Hypothetical protein of unknown function	17	29	37
Phum-OR502AA_001_000196.1	eggnog	Dor1-like family	189.652	238.047	406.555
Phum-OR502AA_001_000695.1	unannotated	Hypothetical protein of unknown function	10	6	11
Phum-OR502AA_001_000694.1	eggnog	Amidohydrolase family	422	526	735
Phum-OR502AA_001_000197.1	eggnog	domain-containing protein	163	294	354
Phum-OR502AA_001_000693.1	eggnog	Dor1-like family	376.348	442.953	518.445
Phum-OR502AA_001_000692.1	unannotated	Hypothetical protein of unknown function	48	50	149
Phum-OR502AA_001_000691.1	interproscan	G3DSA:3.90.1410.10 domain-containing protein	263	581	591
Phum-OR502AA_001_000198.1	eggnog	N-terminal domain of CBF1 interacting co-repressor CIR	168	247	398
Phum-OR502AA_001_000690.1	eggnog	Ubiquitin-conjugating enzyme E2, catalytic domain homologues	421	1079	1341
Phum-OR502AA_001_000689.1	eggnog	RNA polymerase II transcription elongation factor	67	50	71
Phum-OR502AA_001_000199.1	blastp	Homology to Peronospora effusa predicted protein UIZ23236.1	323	395	640
Phum-OR502AA_001_000688.1	unannotated	Hypothetical protein of unknown function	19	6	12
Phum-OR502AA_001_000200.1	eggnog	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes	188	252	418
Phum-OR502AA_001_000687.1	eggnog	Formate--tetrahydrofolate ligase	643	698	858
Phum-OR502AA_001_000201.1	blastp	Homology to Peronospora destructor predicted protein CAI5719107.1	0	0	0
Phum-OR502AA_001_000202.1	eggnog	domain-containing protein	335	384	637
Phum-OR502AA_001_000686.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	355	538	794
Phum-OR502AA_001_000203.1	eggnog	MYND finger	206	207	278
Phum-OR502AA_001_000685.1	eggnog	domain-containing protein	4	44	85
Phum-OR502AA_001_000204.1	eggnog	Memo-like protein	231	574	644
Phum-OR502AA_001_000684.1	eggnog	Dehydrogenase E1	500	908	1165
Phum-OR502AA_001_000683.1	eggnog	Vps16, C-terminal region	54	283	245
Phum-OR502AA_001_000205.1	eggnog	Cytochrome P450	7	364	642
Phum-OR502AA_001_000206.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6576572.1	1	28	31
Phum-OR502AA_001_000207.1	eggnog	Eukaryotic and archaeal DNA primase, large subunit	7	17	19
Phum-OR502AA_001_000208.1	eggnog	tRNA pseudouridine synthase	119	100	130
Phum-OR502AA_001_000682.1	eggnog	domain-containing protein	221	247	284
Phum-OR502AA_001_000681.1	eggnog	Tricarboxylate carrier	1.345	4.28	5.748
Phum-OR502AA_001_000209.1	eggnog	1-phosphatidylinositol-4-phosphate 5-kinase activity	27	74	131
Phum-OR502AA_001_000680.1	eggnog	COQ9	358	530	717
Phum-OR502AA_001_000210.1	eggnog	Tricarboxylate carrier	847.655	1063.72	1327.252
Phum-OR502AA_001_000211.1	eggnog	Uroporphyrinogen decarboxylase (URO-D)	814	803	1106
Phum-OR502AA_001_000679.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7382082.1	15	41	48
Phum-OR502AA_001_000678.1	eggnog	CRT-like, chloroquine-resistance transporter-like	71	201	177
Phum-OR502AA_001_000212.1	eggnog	domain-containing protein	1	198	265
Phum-OR502AA_001_000213.1	eggnog	Phosphatidyl serine synthase	195	284	405
Phum-OR502AA_001_000677.1	eggnog	AICARFT/IMPCHase bienzyme	1626	1404	2061
Phum-OR502AA_001_000676.1	eggnog	Tyrosine phosphatase family	82	136	250
Phum-OR502AA_001_000214.1	interproscan	G3DSA:3.40.50.150 domain-containing protein	144	292	371
Phum-OR502AA_001_000675.1	eggnog	Bifunctional DNA N-glycosylase with associated apurinic apyrimidinic (AP) lyase function that catalyzes the first step in base excision repair (BER), the primary repair pathway for the repair of oxidative DNA damage	91	203	307
Phum-OR502AA_001_000674.1	blastp	Homology to Peronospora destructor predicted protein CAI5718951.1	92	169	224
Phum-OR502AA_001_000215.1	eggnog	Belongs to the heat shock protein 70 family	22318	23097	30641
Phum-OR502AA_001_000216.1	eggnog	FYVE zinc finger	3	37	42
Phum-OR502AA_001_000217.1	eggnog	Zinc finger, ZZ type	245	311	538
Phum-OR502AA_001_000218.1	interproscan	PTHR12802 domain-containing protein	341	1214	2975
Phum-OR502AA_001_000673.1	interproscan	PTHR31569 domain-containing protein	54	64	114
Phum-OR502AA_001_000219.1	eggnog	domain-containing protein	63	104	167
Phum-OR502AA_001_000672.1	eggnog	FerI	199	678	827
Phum-OR502AA_001_000220.1	interproscan	G3DSA:1.25.10.10 domain-containing protein	80	106	156
Phum-OR502AA_001_000671.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000670.1	blastp	Homology to Phytophthora cactorum predicted protein KAG6974553.1	88	140	220
Phum-OR502AA_001_000221.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393853.1	11	27	72
Phum-OR502AA_001_000669.1	eggnog	Syntaxin-like protein	168	346	550
Phum-OR502AA_001_000222.1	eggnog	Ubiquitin-conjugating enzyme	4444	5342	7897
Phum-OR502AA_001_000223.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0518441.1	64	122	228
Phum-OR502AA_001_000668.1	eggnog	Dynein light intermediate chain (DLIC)	626	978	1219
Phum-OR502AA_001_000667.1	eggnog	Ribosomal protein L22p/L17e	499	460	749
Phum-OR502AA_001_000224.1	eggnog	Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN	277	399	570
Phum-OR502AA_001_000666.1	eggnog	Uncharacterised protein family UPF0052	43	57	76
Phum-OR502AA_001_000665.1	eggnog	DUF4217	235	169	220
Phum-OR502AA_001_000225.1	eggnog	Metal dependent phosphohydrolases with conserved 'HD' motif	51	130	122
Phum-OR502AA_001_000664.1	eggnog	endocytic recycling	310	494	661
Phum-OR502AA_001_000226.1	eggnog	CRT-like, chloroquine-resistance transporter-like	674	1336	1424
Phum-OR502AA_001_000663.1	blastp	Homology to Phytophthora cactorum predicted protein KAG3036307.1	3	12	31
Phum-OR502AA_001_000662.1	eggnog	Peroxidase	4031	4994	6503
Phum-OR502AA_001_000227.1	eggnog	Metal dependent phosphohydrolases with conserved 'HD' motif	5	45	49
Phum-OR502AA_001_000661.1	eggnog	Sigma factor PP2C-like phosphatases	1178	997	1401
Phum-OR502AA_001_000660.1	eggnog	Acyl CoA binding protein	2546	1900	2824
Phum-OR502AA_001_000228.1	eggnog	Flavin containing amine oxidoreductase	357	222	405
Phum-OR502AA_001_000659.1	eggnog	Pumilio-family RNA binding repeat	2	169	558
Phum-OR502AA_001_000658.1	eggnog	Protein kinase C conserved region 2 (CalB)	529	472	692
Phum-OR502AA_001_000229.1	eggnog	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	387	543	698
Phum-OR502AA_001_000230.1	interproscan	PTHR31250 domain-containing protein	239	386	624
Phum-OR502AA_001_000231.1	blastp	Homology to Phytophthora idaei predicted protein KAG3121469.1	25	92	163
Phum-OR502AA_001_000657.1	eggnog	Ribosomal proteins L26 eukaryotic, L24P archaeal	4459	4685	6836
Phum-OR502AA_001_000656.1	eggnog	Protein tyrosine kinase	89	114	199
Phum-OR502AA_001_000232.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000233.1	eggnog	domain in TBC and LysM domain containing proteins	253	414	632
Phum-OR502AA_001_000655.1	blastp	Homology to Peronospora effusa predicted protein RMX67683.1	76	80	121
Phum-OR502AA_001_000234.1	blastp	Homology to Phytophthora sojae predicted protein XP_009529548.1	36	31	60
Phum-OR502AA_001_000654.1	eggnog	domain-containing protein	395	434	624
Phum-OR502AA_001_000653.1	eggnog	Tetratricopeptide repeat	239	243	309
Phum-OR502AA_001_000235.1	eggnog	SYF2 splicing factor	67	84	126
Phum-OR502AA_001_000236.1	eggnog	SOR/SNZ family	1511	978	1375
Phum-OR502AA_001_000652.1	interproscan	PTHR14255 domain-containing protein	60.388	29.228	85.127
Phum-OR502AA_001_000651.1	eggnog	Papain family cysteine protease	2743	5780	5920
Phum-OR502AA_001_000650.1	interproscan	PTHR14255 domain-containing protein	124.612	177.772	465.873
Phum-OR502AA_001_000649.1	eggnog	Histidine phosphatase superfamily (branch 2)	313	565	749
Phum-OR502AA_001_000237.1	eggnog	uterine gland development	310	170	280
Phum-OR502AA_001_000238.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008901520.1	298	347	658
Phum-OR502AA_001_000239.1	eggnog	Protein of unknown function (DUF1765)	169	337	508
Phum-OR502AA_001_000648.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008901523.1	109	169	168
Phum-OR502AA_001_000240.1	interproscan	PTHR14255 domain-containing protein	487	818	1279
Phum-OR502AA_001_000241.1	eggnog	Kinase-like	85	117	208
Phum-OR502AA_001_000647.1	eggnog	Mitochondrial carrier protein	591.328	782.644	1599.694
Phum-OR502AA_001_000242.1	eggnog	Mitochondrial carrier protein	360.672	576.356	1047.306
Phum-OR502AA_001_000243.1	eggnog	Phosphatidylinositol-4-phosphate 5-Kinase	548	982	1316
Phum-OR502AA_001_000244.1	eggnog	Phosphatidylinositol-4-phosphate 5-Kinase	176	151	295
Phum-OR502AA_001_000245.1	eggnog	domain-containing protein	248	271	410
Phum-OR502AA_001_000246.1	eggnog	Biotin-requiring enzyme	869	746	1039
Phum-OR502AA_001_000646.1	eggnog	EF-hand, calcium binding motif	1047	1302	1888
Phum-OR502AA_001_000645.1	eggnog	Stage II sporulation protein E (SpoIIE)	99.687	67.477	110.283
Phum-OR502AA_001_000247.1	blastp	Homology to Peronospora effusa predicted protein CAI5703238.1	113	103	155
Phum-OR502AA_001_000248.1	blastp	Homology to Peronospora effusa predicted protein CAI5703239.1	468	743	1031
Phum-OR502AA_001_000249.1	eggnog	Rab guanyl-nucleotide exchange factor activity	199	339	492
Phum-OR502AA_001_000644.1	eggnog	domain-containing protein	83	514	500
Phum-OR502AA_001_000643.1	eggnog	domain-containing protein	255	303	487
Phum-OR502AA_001_000250.1	eggnog	domain-containing protein	179	654	794
Phum-OR502AA_001_000642.1	eggnog	Regulator of chromosome condensation (RCC1) repeat	66	313	414
Phum-OR502AA_001_000251.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393905.1	1352	4748	6373
Phum-OR502AA_001_000641.1	eggnog	Stage II sporulation protein E (SpoIIE)	10.313	40.523	48.717
Phum-OR502AA_001_000252.1	interproscan	G3DSA:1.50.10.10 domain-containing protein	295	525	664
Phum-OR502AA_001_000253.1	eggnog	16S rRNA methyltransferase RsmB/F	475	511	569
Phum-OR502AA_001_000254.1	eggnog	zinc finger	0	139	219
Phum-OR502AA_001_000255.1	interproscan	PTHR46557 domain-containing protein	446	615	952
Phum-OR502AA_001_000640.1	eggnog	Ribosomal protein S6e	16380	15043	20217
Phum-OR502AA_001_000256.1	eggnog	Links covalently the heme group to the apoprotein of cytochrome c	440	561	741
Phum-OR502AA_001_000257.1	eggnog	domain-containing protein	355	528	720
Phum-OR502AA_001_000639.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2791061.1	41	77	136
Phum-OR502AA_001_000258.1	blastp	Homology to Peronospora effusa predicted protein RMX67675.1	207	148	384
Phum-OR502AA_001_000259.1	eggnog	Olfactory receptor 4-like	182	217	254
Phum-OR502AA_001_000638.1	blastp	Homology to Phytophthora lilii predicted protein GMF09666.1	236	231	359
Phum-OR502AA_001_000637.1	eggnog	Domain with 2 conserved Trp (W) residues	2566	3489	4685
Phum-OR502AA_001_000260.1	eggnog	Calcineurin-like phosphoesterase	95	360	682
Phum-OR502AA_001_000636.1	eggnog	AIR carboxylase	108	164	271
Phum-OR502AA_001_000635.1	eggnog	AIR carboxylase	196	231	344
